description,business_tags,sector,category,niche,candidate_labels,candidate_sim_scores,zero_shot_scores,final_labels
"Welchcivils is a civil engineering and construction company that specializes in designing and building utility network connections across the UK. They offer multi-utility solutions that combine electricity, gas, water, and fibre optic installation into a single contract. Their design engineer teams are capable of designing electricity, water and gas networks from existing network connection points to meter locations at the development, as well as project management of reinforcements and diversions. They provide custom connection solutions that take into account any existing assets, maximize the usage of every trench, and meet project deadlines. Welchcivils has considerable expertise installing gas and electricity connections in a variety of market categories, including residential, commercial, and industrial projects, as as well.","['Construction Services', 'Multi-utilities', 'Utility Network Connections Design and Construction', 'Water Connection Installation', 'Multi-utility Connections', 'Fiber Optic Installation']",Services,Civil Engineering Services,Other Heavy and Civil Engineering Construction,"['Pipeline Construction Services', 'Residential Electrical Services', 'Electric Line Construction', 'Commercial Electrical Services', 'Infrastructure Excavation', 'Industrial Plumbing Services', 'Insulation Services', 'Directional Drilling Services', 'Cable Installation Services', 'Road and Highway Construction', 'Commercial Construction Services', 'Residential Drainage Systems', 'Residential Communication Equipment Installation', 'Millwork Services', 'Well Drilling Services', 'Excavation Services', 'Commercial Communication Equipment Installation', 'Fencing Construction Services', 'Multi-Family Construction Services', 'Well Maintenance Services', 'Residential Driveway Construction', 'Residential Plumbing Services']","[0.54348576, 0.5018974, 0.48448154, 0.47091168, 0.46136233, 0.4507035, 0.4454762, 0.4380273, 0.4304815, 0.42187327, 0.4188899, 0.4188426, 0.41500825, 0.41448689, 0.41435733, 0.4127131, 0.4088042, 0.40377215, 0.39517924, 0.39015287, 0.39007658, 0.38314915]","{'Pipeline Construction Services': 0.39690104126930237, 'Residential Electrical Services': 0.5975270867347717, 'Electric Line Construction': 0.4146212339401245, 'Commercial Electrical Services': 0.5447238087654114, 'Infrastructure Excavation': 0.18628695607185364, 'Industrial Plumbing Services': 0.34525439143180847, 'Insulation Services': 0.06216234341263771, 'Directional Drilling Services': 0.06694106012582779, 'Cable Installation Services': 0.4114675521850586, 'Road and Highway Construction': 0.08469114452600479, 'Commercial Construction Services': 0.6327286958694458, 'Residential Drainage Systems': 0.23113982379436493, 'Residential Communication Equipment Installation': 0.3855735659599304, 'Millwork Services': 0.0934208557009697, 'Well Drilling Services': 0.0733925998210907, 'Excavation Services': 0.0498310849070549, 'Commercial Communication Equipment Installation': 0.2632918655872345, 'Fencing Construction Services': 0.23238304257392883, 'Multi-Family Construction Services': 0.6760427951812744, 'Well Maintenance Services': 0.16907952725887299, 'Residential Driveway Construction': 0.34527990221977234, 'Residential Plumbing Services': 0.2907540500164032}","['Pipeline Construction Services', 'Residential Electrical Services', 'Electric Line Construction', 'Commercial Electrical Services', 'Industrial Plumbing Services', 'Cable Installation Services', 'Commercial Construction Services', 'Residential Communication Equipment Installation', 'Multi-Family Construction Services', 'Residential Driveway Construction']"
"Kyoto Vegetable Specialists Uekamo, also known as Iwa-machi, is a company based in Kyoto, Japan that specializes in the sale of vegetables. They have been in business for ten years and offer a collection of vegetable recipes through their Keiō Vegetable Recipe Collection and Online Shop. The company is directly owned by Uekamoo Farm, Uekame Farm, and Lobechi Shijo-hara Farm. They offer a variety of vegetable products, including suguki-zuke and Kamoo eggplant, and also accept production cultivation according to customer requests. Iwaichi Limited Company uses their experience in production and sales to provide tailored vegetables to meet customer needs and also accepts cultivation of products according to their requirements.","['Wholesale', 'Dual-task Movement Products', 'Manufacturing Technology', 'Food and Beverage', 'Rice And Noodles', 'Rice Wholesaler', 'Miscellaneous Crop Farming', 'Health and Wellness Products', 'Agricultural Cooperative', 'Medical Practice Based on Eastern Medicine', 'Production', 'Rice Pudding']",Manufacturing,Fruit & Vegetable - Markets & Stores,"Frozen Fruit, Juice, and Vegetable Manufacturing","['Agricultural Equipment Services', 'Ornamental Plant Nurseries', 'Food Processing Services', 'Gardening Services', 'Seafood Processing Services', 'Meat Processing Services', 'Bakery Production Services', 'Pesticide Application Services', 'Food Safety Services', 'Dairy Production Services', 'Coffee Processing Services', 'Confectionery Manufacturing', 'Canning Services', 'Textile Manufacturing Services', 'Livestock Dealer Services', 'Grain Processing Services', 'Pet Food Manufacturing', 'Catering Services', 'Accessory Manufacturing', 'Timber Harvesting Operations', 'Online Marketing Services', 'Commercial Irrigation Systems']","[0.37806574, 0.36160028, 0.3576315, 0.33765417, 0.31701732, 0.31580335, 0.30943805, 0.30317613, 0.2995962, 0.29599518, 0.29337686, 0.283866, 0.2808221, 0.2803814, 0.2668229, 0.26500672, 0.25910896, 0.24219152, 0.24058297, 0.24050498, 0.23462445, 0.23347932]","{'Agricultural Equipment Services': 0.030228175222873688, 'Ornamental Plant Nurseries': 0.03796635940670967, 'Food Processing Services': 0.1471979171037674, 'Gardening Services': 0.2397148609161377, 'Seafood Processing Services': 0.007735494524240494, 'Meat Processing Services': 0.006557323504239321, 'Bakery Production Services': 0.01441859919577837, 'Pesticide Application Services': 0.018512139096856117, 'Food Safety Services': 0.01931268908083439, 'Dairy Production Services': 0.0149746248498559, 'Coffee Processing Services': 0.008327879011631012, 'Confectionery Manufacturing': 0.01055585965514183, 'Canning Services': 0.13528871536254883, 'Textile Manufacturing Services': 0.013238693587481976, 'Livestock Dealer Services': 0.012257945723831654, 'Grain Processing Services': 0.03364890441298485, 'Pet Food Manufacturing': 0.021422220394015312, 'Catering Services': 0.025404486805200577, 'Accessory Manufacturing': 0.042067769914865494, 'Timber Harvesting Operations': 0.012187033891677856, 'Online Marketing Services': 0.12264721840620041, 'Commercial Irrigation Systems': 0.042722269892692566}",[]
"Loidholdhof Integrative Hofgemeinschaft is a company that offers a range of services and products to its customers. Their products are all handmade and of the highest quality, produced on a biodynamic basis with a focus on freshness and quality. The company's product range includes homemade bread, honey from their own beekeeping, syrup, and fresh vegetables, which can be purchased in their farm shop. In addition to their farm products, they also have a farm shop and cafe where customers can enjoy fresh coffee and delicious cakes.","['Living Forms', 'Farm Cafe', 'Fresh Coffee', 'Community Engagement', 'Freshly Baked Bread', 'Social Interaction Opportunities', 'Fresh Vegetables', 'Homemade Honey', 'Delicious Cakes', 'Community-oriented Living', 'Handmade Products', 'Fresh Juices', 'Farm Fresh Products', 'Integrated Farming Community', 'Biodynamic Farming']",Manufacturing,Farms & Agriculture Production,All Other Miscellaneous Crop Farming,"['Bakery Production Services', 'Confectionery Manufacturing', 'Food Processing Services', 'Dairy Production Services', 'Agricultural Equipment Services', 'Meat Processing Services', 'Catering Services', 'Food Safety Services', 'Ornamental Plant Nurseries', 'Ice Production Services', 'Livestock Dealer Services', 'Grain Processing Services', 'Animal Feed Manufacturing', 'Seafood Processing Services', 'Canning Services', 'Pet Food Manufacturing', 'Gardening Services', 'Interior Design Services', 'Coffee Processing Services', 'Stationery Manufacturing', 'Cosmetic Manufacturing', 'Real Estate Services']","[0.43323463, 0.4156477, 0.3507712, 0.34719568, 0.342794, 0.32206887, 0.3102277, 0.30919385, 0.2971831, 0.2964873, 0.29421473, 0.291969, 0.28375596, 0.2812336, 0.2811477, 0.27738956, 0.27577233, 0.27458292, 0.27404875, 0.2731214, 0.27264035, 0.27202582]","{'Bakery Production Services': 0.3492334187030792, 'Confectionery Manufacturing': 0.23264621198177338, 'Food Processing Services': 0.21767522394657135, 'Dairy Production Services': 0.2964765131473541, 'Agricultural Equipment Services': 0.07423423230648041, 'Meat Processing Services': 0.10061754286289215, 'Catering Services': 0.11034698039293289, 'Food Safety Services': 0.06481142342090607, 'Ornamental Plant Nurseries': 0.1695142239332199, 'Ice Production Services': 0.10216984897851944, 'Livestock Dealer Services': 0.06980586051940918, 'Grain Processing Services': 0.190382182598114, 'Animal Feed Manufacturing': 0.11867300420999527, 'Seafood Processing Services': 0.09807315468788147, 'Canning Services': 0.24979865550994873, 'Pet Food Manufacturing': 0.14498308300971985, 'Gardening Services': 0.30715131759643555, 'Interior Design Services': 0.057368598878383636, 'Coffee Processing Services': 0.38845765590667725, 'Stationery Manufacturing': 0.13514409959316254, 'Cosmetic Manufacturing': 0.06797980517148972, 'Real Estate Services': 0.048176560550928116}","['Bakery Production Services', 'Gardening Services', 'Coffee Processing Services']"
"PATAGONIA Chapa Y Pintura is an auto body shop located in Comodoro Rivadavia, Chubut Province, Argentina. The company specializes in providing auto body repair services.","['Automotive Body Repair Services', 'Interior Repair Services']",Services,Auto Body Shops,"Automotive Body, Paint, and Interior Repair and Maintenance","['Coffee Processing Services', 'Apparel Manufacturing', 'Food Processing Services', 'Pet Grooming Services', 'Seafood Processing Services', 'Textile Manufacturing Services', 'Asphalt Production Services', 'Pet Food Manufacturing', 'Pet Boarding Services', 'Cosmetic Manufacturing', 'Excavation Services', 'Well Drilling Services', 'Commercial Construction Services', 'Sheet Metal Services', 'Meat Processing Services', 'Swimming Pool Maintenance Services', 'Plastic Manufacturing', 'Sidewalk Construction Services', 'Travel Services', 'Pallet Manufacturing', 'Landscaping Services', 'Street Cleaning Operations']","[0.2948764, 0.25942516, 0.25607812, 0.24950206, 0.24037854, 0.23990767, 0.23961475, 0.23812564, 0.23525262, 0.23345599, 0.23113385, 0.22895946, 0.22870941, 0.22451085, 0.22444254, 0.22352421, 0.21769147, 0.21194899, 0.2066273, 0.20625792, 0.2058765, 0.20505835]","{'Coffee Processing Services': 0.002434468362480402, 'Apparel Manufacturing': 0.0025667939335107803, 'Food Processing Services': 0.006108617410063744, 'Pet Grooming Services': 0.003269653068855405, 'Seafood Processing Services': 0.005760253872722387, 'Textile Manufacturing Services': 0.0014058119850233197, 'Asphalt Production Services': 0.011310783214867115, 'Pet Food Manufacturing': 0.008363892324268818, 'Pet Boarding Services': 0.00321589526720345, 'Cosmetic Manufacturing': 0.003715280443429947, 'Excavation Services': 0.002445056801661849, 'Well Drilling Services': 0.0034946976229548454, 'Commercial Construction Services': 0.005730651784688234, 'Sheet Metal Services': 0.010116448625922203, 'Meat Processing Services': 0.008136246353387833, 'Swimming Pool Maintenance Services': 0.003446464193984866, 'Plastic Manufacturing': 0.09686184674501419, 'Sidewalk Construction Services': 0.005969848949462175, 'Travel Services': 0.011540978215634823, 'Pallet Manufacturing': 0.014955500140786171, 'Landscaping Services': 0.004551568068563938, 'Street Cleaning Operations': 0.00532126147300005}",[]
"Stanica WODNA PTTK Swornegacie is a cultural establishment located in Swornychgaciach, Poland. It is a popular destination for kayakers and tourists of all levels, offering a variety of activities and events. The establishment is managed by Zbigniew Galiński.","['Cultural Activities', 'Accommodation Services', 'Kayak Rentals', 'Small Gastronomy Products', 'Tourism Services', 'Recreational Activities', 'Cultural Center']",Services,Boat Tours & Cruises,"Scenic and Sightseeing Transportation, Water","['Welding Services', 'Physical Therapy Services', 'Tent Manufacturing Services', 'Carpentry Services', 'Brewery Operations', 'Laboratory Services', 'Ice Production Services', 'Field Welding Services', 'Meat Processing Services', 'Waterproofing Services', 'Pet Grooming Services', 'Veterinary Clinics', 'Boiler Repair Services', 'Coffee Processing Services', 'Testing and Inspection Services', 'Fishing and Hunting Services', 'Fencing Construction Services', 'Carpet Manufacturing Services', 'Textile Manufacturing Services', 'Veterinary Services', 'Legal Services', 'Occupational Health Services']","[0.23207857, 0.22215241, 0.21530637, 0.21220148, 0.2096715, 0.20935968, 0.20634654, 0.19789922, 0.19630148, 0.19022837, 0.1886474, 0.18842739, 0.18832335, 0.1852982, 0.18367514, 0.18232581, 0.18203908, 0.17820089, 0.17775792, 0.17731833, 0.17681347, 0.17679429]","{'Welding Services': 0.03075634129345417, 'Physical Therapy Services': 0.07238414138555527, 'Tent Manufacturing Services': 0.03432110697031021, 'Carpentry Services': 0.041983794420957565, 'Brewery Operations': 0.007813853211700916, 'Laboratory Services': 0.03654204308986664, 'Ice Production Services': 0.04526161774992943, 'Field Welding Services': 0.03387250378727913, 'Meat Processing Services': 0.04638975113630295, 'Waterproofing Services': 0.10113484412431717, 'Pet Grooming Services': 0.024432433769106865, 'Veterinary Clinics': 0.015903986990451813, 'Boiler Repair Services': 0.02231375128030777, 'Coffee Processing Services': 0.02945803478360176, 'Testing and Inspection Services': 0.07375719398260117, 'Fishing and Hunting Services': 0.03356416895985603, 'Fencing Construction Services': 0.04968646541237831, 'Carpet Manufacturing Services': 0.02824624441564083, 'Textile Manufacturing Services': 0.03787819668650627, 'Veterinary Services': 0.025924677029252052, 'Legal Services': 0.029213804751634598, 'Occupational Health Services': 0.038885168731212616}",[]
"BIQ Benefícios is a Brazilian company that specializes in generating benefits for both individuals and businesses. With a structure of three large companies in the food sector and 20 years of experience, BIQ Beneficios has extensive knowledge in this field. The company aims to revolutionize the market through quality services for its customers, accredited employees, and collaborators. BIQ Benefits is duly accredited by the PAT (Worker Food Program) and offers a wide network of accredited establishments that provides employees with the freedom to choose healthy food options. The BIQ Duo card is perfect for those who travel frequently. The app allows users to perform balance queries and statements of BIQ cards, as well as see the average daily spending so that their balance lasts until the end of the month.","['Healthy Food Options', 'Accredited Establishments', 'Daily Spending Tracking Service', 'Benefits and Payment Solutions', 'Balance Queries', 'Balance Statements', 'Benefit Generation', 'Food Cards', 'Flexible and Personalized Benefits Strategy']",Services,Payment Processing & Point of Sale,"Financial Transactions Processing, Reserve, and Clearinghouse Activities","['Business Development Services', 'Food Processing Services', 'Coffee Processing Services', 'Bakery Production Services', 'Catering Services', 'Marketing Services', 'Financial Services', 'Meat Processing Services', 'Market Research Services', 'Food Safety Services', 'Travel Services', 'Seafood Processing Services', 'E-Commerce Services', 'Quality Assurance Services', 'Management Consulting', 'Corporate Responsibility Services', 'Confectionery Manufacturing', 'Health Promotion Services', 'Health and Safety Consulting', 'Insurance Services', 'Waste Management Services', 'Dairy Production Services']","[0.3980954, 0.3969254, 0.3838385, 0.38202313, 0.380086, 0.36392784, 0.35949475, 0.356051, 0.3556363, 0.35336846, 0.35331607, 0.34548587, 0.3396306, 0.3280383, 0.3266393, 0.32184157, 0.31156278, 0.3091271, 0.30085745, 0.29834682, 0.29113245, 0.2847715]","{'Business Development Services': 0.11652079969644547, 'Food Processing Services': 0.22724610567092896, 'Coffee Processing Services': 0.12469738721847534, 'Bakery Production Services': 0.08364763855934143, 'Catering Services': 0.14563380181789398, 'Marketing Services': 0.13473431766033173, 'Financial Services': 0.6709190607070923, 'Meat Processing Services': 0.12758474051952362, 'Market Research Services': 0.22180430591106415, 'Food Safety Services': 0.12849761545658112, 'Travel Services': 0.5007049441337585, 'Seafood Processing Services': 0.16594313085079193, 'E-Commerce Services': 0.529496967792511, 'Quality Assurance Services': 0.1573074609041214, 'Management Consulting': 0.06460369378328323, 'Corporate Responsibility Services': 0.1997964233160019, 'Confectionery Manufacturing': 0.0872277319431305, 'Health Promotion Services': 0.2060869038105011, 'Health and Safety Consulting': 0.09249874204397202, 'Insurance Services': 0.16859887540340424, 'Waste Management Services': 0.07857873290777206, 'Dairy Production Services': 0.08738012611865997}","['Financial Services', 'Travel Services', 'E-Commerce Services']"
"EnvCompli is a company that provides personalized Industrial General Permit (IGP) Management services for Storm Water Compliance needs. They offer an assigned specialist to meet all your needs, coordinate your lab sample results, and manage your SMARTs account. Their services include preparing a Storm Water Pollution Prevention Plan (Swppp) with on-site evaluation, BMPs evaluation, Monitoring Implementation Plan, Site Map, and SWPPP revision. They also provide customized Inspection Forms to meet your facility needs. EnvComplI was founded by a Stormwater Compliance expert with experience in various industries such as transportation, metal fabrication, scrap metals, plastic film & extrusion, food processing, oil & gas, wood mills, and aerospace. They provide on-the-spot NEC evaluation and solution to ensure the NEC requirements have been met. Additionally, they offer SMART data entry for AdHoc Report (Lab Report) and Annual Report.","['Source Control', 'Inspection and Sampling Event Forms', 'Stormwater Management', 'State Water Boards Smarts']",Services,Environmental Engineering Services,Environmental Consulting Services,"['Water Treatment Services', 'Environmental Consulting', 'Residential Drainage Systems', 'Waterproofing Services', 'Industrial Plumbing Services', 'Environmental Health Services', 'Septic System Services', 'Commercial Irrigation Systems', 'Residential Plumbing Services', 'Boiler Installation Services', 'Pipeline Construction Services', 'General Snow Removal Services', 'Commercial Plumbing Services', 'General Handyman Services', 'Swimming Pool Maintenance Services', 'Health and Safety Consulting', 'Swimming Pool Installation Services', 'Residential Drain Cleaning', 'Waste Management Services', 'Commercial Drain Cleaning', 'Ice Production Services', 'Testing and Inspection Services']","[0.45728815, 0.45647332, 0.4301792, 0.41927275, 0.40907502, 0.4039901, 0.39285645, 0.38214052, 0.37870446, 0.37800574, 0.37367016, 0.36698365, 0.35953575, 0.3591742, 0.35741556, 0.35694587, 0.35497275, 0.35336888, 0.35217106, 0.34947196, 0.33893186, 0.33419037]","{'Water Treatment Services': 0.06069793552160263, 'Environmental Consulting': 0.04964306205511093, 'Residential Drainage Systems': 0.01828095130622387, 'Waterproofing Services': 0.06026633828878403, 'Industrial Plumbing Services': 0.026038065552711487, 'Environmental Health Services': 0.01514972560107708, 'Septic System Services': 0.05409156158566475, 'Commercial Irrigation Systems': 0.04125203564763069, 'Residential Plumbing Services': 0.011768153868615627, 'Boiler Installation Services': 0.03169595077633858, 'Pipeline Construction Services': 0.0453692190349102, 'General Snow Removal Services': 0.009573845192790031, 'Commercial Plumbing Services': 0.022884339094161987, 'General Handyman Services': 0.013256779871881008, 'Swimming Pool Maintenance Services': 0.00924135372042656, 'Health and Safety Consulting': 0.027071218937635422, 'Swimming Pool Installation Services': 0.009752901270985603, 'Residential Drain Cleaning': 0.02429579198360443, 'Waste Management Services': 0.03501565754413605, 'Commercial Drain Cleaning': 0.06341139227151871, 'Ice Production Services': 0.028733940795063972, 'Testing and Inspection Services': 0.7728879451751709}",['Testing and Inspection Services']
"Corrugated Beam Form Ltd is a company based in Walsall, England, specializing in the supply of concrete products.","['Cut Sheets', 'Formwork Installation Services', 'Corner Joints', 'Lightweight Polypropylene Manufacturer', 'Welded Cages', 'Full Drawings Installation Videos', 'Concrete Products', 'Manufacturing', 'Drawing Take-offs Services', 'Installation Guides', 'Prefabricated U-sections', 'Construction Materials Manufacturing', 'Light and Rigid Formwork']",Manufacturing,Building Material Manufacturers,Engineered Wood Member Manufacturing,"['Sheet Metal Services', 'Pallet Manufacturing', 'Commercial Construction Services', 'Welding Services', 'Residential Roofing Services', 'Field Welding Services', 'Tilt-Up Concrete Services', 'Masonry Construction Services', 'Pipeline Construction Services', 'Non-Structural Steel Fabrication', 'Tent Manufacturing Services', 'Fencing Construction Services', 'Roofing Services with Heat Application', 'Rope Production Services', 'Trim Manufacturing', 'Millwork Services', 'Carpentry Services', 'Multi-Family Construction Services', 'Plastic Signage Production', 'Testing and Inspection Services', 'Paper Production Services', 'General Handyman Services']","[0.50389946, 0.4832191, 0.4340434, 0.39837706, 0.39837348, 0.38807195, 0.38759392, 0.37633032, 0.37325048, 0.36872515, 0.36805692, 0.36543667, 0.36297, 0.35114992, 0.35023695, 0.34909365, 0.34096888, 0.34063947, 0.33562398, 0.3349688, 0.33495384, 0.333445]","{'Sheet Metal Services': 0.006454701069742441, 'Pallet Manufacturing': 0.0213957279920578, 'Commercial Construction Services': 0.07684274017810822, 'Welding Services': 0.008262715302407742, 'Residential Roofing Services': 0.030684445053339005, 'Field Welding Services': 0.0053811403922736645, 'Tilt-Up Concrete Services': 0.04869885742664337, 'Masonry Construction Services': 0.010915275663137436, 'Pipeline Construction Services': 0.013815321028232574, 'Non-Structural Steel Fabrication': 0.00896600540727377, 'Tent Manufacturing Services': 0.025906264781951904, 'Fencing Construction Services': 0.029270946979522705, 'Roofing Services with Heat Application': 0.022836193442344666, 'Rope Production Services': 0.0030538151040673256, 'Trim Manufacturing': 0.010184218175709248, 'Millwork Services': 0.008074342273175716, 'Carpentry Services': 0.004448294639587402, 'Multi-Family Construction Services': 0.012947136536240578, 'Plastic Signage Production': 0.004537263419479132, 'Testing and Inspection Services': 0.013050008565187454, 'Paper Production Services': 0.0010642330162227154, 'General Handyman Services': 0.004880867432802916}",[]
"The company specializes in the production and distribution of packaging materials, including cardboard sealing tape, wholesale packaging, and packaging supplies. They also offer printed packaging services.","['C Packaging Solutions', 'Wholesale Package', 'Printed Packaging', 'Carton Sealing Tape']",Wholesale,Paper & Cardboard Products,Industrial and Personal Service Paper Merchant Wholesalers,"['Paper Production Services', 'Sheet Metal Services', 'Drywall Services', 'Stationery Manufacturing', 'Rope Production Services', 'Carpet Manufacturing Services', 'Confectionery Manufacturing', 'Insulation Services', 'Textile Manufacturing Services', 'Trim Manufacturing', 'Food Processing Services', 'Pallet Manufacturing', 'Marketing Services', 'Tent Manufacturing Services', 'Cosmetic Manufacturing', 'Ink Production Services', 'Apparel Manufacturing', 'Bakery Production Services', 'Plastic Signage Production', 'Meat Processing Services', 'Catering Services', 'Printing Services']","[0.5555873, 0.49806672, 0.4738898, 0.46223855, 0.44944358, 0.44566074, 0.43960947, 0.43796, 0.4360366, 0.43051025, 0.42646533, 0.4096472, 0.40833193, 0.40803573, 0.4056207, 0.39959735, 0.39800125, 0.3979183, 0.39239973, 0.39223883, 0.3889299, 0.38603848]","{'Paper Production Services': 0.9290358424186707, 'Sheet Metal Services': 0.4815511405467987, 'Drywall Services': 0.032315533608198166, 'Stationery Manufacturing': 0.6679865121841431, 'Rope Production Services': 0.13651388883590698, 'Carpet Manufacturing Services': 0.27504849433898926, 'Confectionery Manufacturing': 0.05589267984032631, 'Insulation Services': 0.06496064364910126, 'Textile Manufacturing Services': 0.8415195345878601, 'Trim Manufacturing': 0.889087975025177, 'Food Processing Services': 0.18359431624412537, 'Pallet Manufacturing': 0.8181963562965393, 'Marketing Services': 0.2768087387084961, 'Tent Manufacturing Services': 0.1457364708185196, 'Cosmetic Manufacturing': 0.5504229664802551, 'Ink Production Services': 0.3853480815887451, 'Apparel Manufacturing': 0.5057778358459473, 'Bakery Production Services': 0.012388125993311405, 'Plastic Signage Production': 0.4791819453239441, 'Meat Processing Services': 0.01719551533460617, 'Catering Services': 0.031371332705020905, 'Printing Services': 0.7724448442459106}","['Paper Production Services', 'Sheet Metal Services', 'Stationery Manufacturing', 'Textile Manufacturing Services', 'Trim Manufacturing', 'Pallet Manufacturing', 'Cosmetic Manufacturing', 'Ink Production Services', 'Apparel Manufacturing', 'Plastic Signage Production', 'Printing Services']"
"Indira Caterz And Event Managerzz is a company categorized under restaurant supply stores. It is located in Alappuzha, Kerala, India. The company specializes in providing supplies for restaurants and event management services.","['Event Organization Services', 'Restaurant Supply Store']",Wholesale,Restaurant Equipment,Other Commercial Equipment Merchant Wholesalers,"['Catering Services', 'Event Planning Services', 'Food Processing Services', 'Marketing Services', 'Travel Services', 'Crisis Management Services', 'Seafood Processing Services', 'E-Commerce Services', 'Bakery Production Services', 'General Handyman Services', 'Meat Processing Services', 'Coffee Processing Services', 'Waste Management Services', 'Tent Manufacturing Services', 'Confectionery Manufacturing', 'Food Safety Services', 'Interior Design Services', 'Carpet Manufacturing Services', 'Fundraising Services', 'Sports Management Services', 'Agricultural Equipment Services', 'Insurance Services']","[0.49924767, 0.4239958, 0.36552328, 0.32837382, 0.30712172, 0.3034184, 0.30207476, 0.29551512, 0.29361928, 0.2875199, 0.27614766, 0.2754016, 0.27518743, 0.27479377, 0.27419335, 0.2720973, 0.2714962, 0.26879737, 0.26510954, 0.26499325, 0.26227948, 0.2608871]","{'Catering Services': 0.5329440832138062, 'Event Planning Services': 0.3495067059993744, 'Food Processing Services': 0.034692879766225815, 'Marketing Services': 0.021248603239655495, 'Travel Services': 0.0044898418709635735, 'Crisis Management Services': 0.044277820736169815, 'Seafood Processing Services': 0.018146373331546783, 'E-Commerce Services': 0.007678622379899025, 'Bakery Production Services': 0.006621062755584717, 'General Handyman Services': 0.0075401440262794495, 'Meat Processing Services': 0.012051153928041458, 'Coffee Processing Services': 0.010283291339874268, 'Waste Management Services': 0.004804274067282677, 'Tent Manufacturing Services': 0.007882600650191307, 'Confectionery Manufacturing': 0.003972487524151802, 'Food Safety Services': 0.029697179794311523, 'Interior Design Services': 0.0030585243366658688, 'Carpet Manufacturing Services': 0.006159920245409012, 'Fundraising Services': 0.019605727866292, 'Sports Management Services': 0.01633511856198311, 'Agricultural Equipment Services': 0.0038172395434230566, 'Insurance Services': 0.0020972248166799545}","['Catering Services', 'Event Planning Services']"
