description,business_tags,sector,category,niche,candidate_labels,candidate_sim_scores,zero_shot_scores,final_labels
"Welchcivils is a civil engineering and construction company that specializes in designing and building utility network connections across the UK. They offer multi-utility solutions that combine electricity, gas, water, and fibre optic installation into a single contract. Their design engineer teams are capable of designing electricity, water and gas networks from existing network connection points to meter locations at the development, as well as project management of reinforcements and diversions. They provide custom connection solutions that take into account any existing assets, maximize the usage of every trench, and meet project deadlines. Welchcivils has considerable expertise installing gas and electricity connections in a variety of market categories, including residential, commercial, and industrial projects, as as well.","['Construction Services', 'Multi-utilities', 'Utility Network Connections Design and Construction', 'Water Connection Installation', 'Multi-utility Connections', 'Fiber Optic Installation']",Services,Civil Engineering Services,Other Heavy and Civil Engineering Construction,"['Pipeline Construction Services', 'Residential Electrical Services', 'Commercial Electrical Services', 'Commercial Construction Services', 'Industrial Plumbing Services', 'Cable Installation Services', 'Multi-Family Construction Services', 'Insulation Services', 'Electric Line Construction', 'Millwork Services', 'Infrastructure Excavation', 'Directional Drilling Services', 'Commercial Communication Equipment Installation', 'Residential Communication Equipment Installation', 'Boiler Installation Services', 'Masonry Construction Services', 'Well Drilling Services', 'Excavation Services', 'Roofing Services with Heat Application', 'Road and Highway Construction', 'Residential Roofing Services', 'Commercial Plumbing Services']","[0.5542776, 0.5054703, 0.48808673, 0.4698605, 0.4631223, 0.45207605, 0.4477328, 0.4448193, 0.44439334, 0.4406197, 0.4385237, 0.43121493, 0.42596117, 0.4254415, 0.4244448, 0.42212674, 0.41522548, 0.40889537, 0.40877393, 0.40819418, 0.40783596, 0.40636814]","{'Pipeline Construction Services': 0.2939046621322632, 'Residential Electrical Services': 0.35120534896850586, 'Commercial Electrical Services': 0.21828550100326538, 'Commercial Construction Services': 0.40834280848503113, 'Industrial Plumbing Services': 0.06354636698961258, 'Cable Installation Services': 0.1847745031118393, 'Multi-Family Construction Services': 0.465561181306839, 'Insulation Services': 0.011616900563240051, 'Electric Line Construction': 0.29225531220436096, 'Millwork Services': 0.04002973437309265, 'Infrastructure Excavation': 0.02484554424881935, 'Directional Drilling Services': 0.013211503624916077, 'Commercial Communication Equipment Installation': 0.10383791476488113, 'Residential Communication Equipment Installation': 0.24921484291553497, 'Boiler Installation Services': 0.09696031361818314, 'Masonry Construction Services': 0.0368199348449707, 'Well Drilling Services': 0.009287581779062748, 'Excavation Services': 0.00873372983187437, 'Roofing Services with Heat Application': 0.040715329349040985, 'Road and Highway Construction': 0.041668083518743515, 'Residential Roofing Services': 0.14878730475902557, 'Commercial Plumbing Services': 0.07367923855781555}","['Residential Electrical Services', 'Commercial Construction Services', 'Multi-Family Construction Services']"
"Kyoto Vegetable Specialists Uekamo, also known as Iwa-machi, is a company based in Kyoto, Japan that specializes in the sale of vegetables. They have been in business for ten years and offer a collection of vegetable recipes through their Keiō Vegetable Recipe Collection and Online Shop. The company is directly owned by Uekamoo Farm, Uekame Farm, and Lobechi Shijo-hara Farm. They offer a variety of vegetable products, including suguki-zuke and Kamoo eggplant, and also accept production cultivation according to customer requests. Iwaichi Limited Company uses their experience in production and sales to provide tailored vegetables to meet customer needs and also accepts cultivation of products according to their requirements.","['Wholesale', 'Dual-task Movement Products', 'Cast Iron Products Manufacturer', 'Manufacturing Technology', 'Food and Beverage', 'Rice And Noodles', 'High-quality Gloss of Cast Iron', 'Rice Wholesaler', 'Miscellaneous Crop Farming', 'Health and Wellness Products', 'Agricultural Cooperative', 'Medical Practice Based on Eastern Medicine', 'Production', 'Rice Pudding']",Manufacturing,Fruit & Vegetable - Markets & Stores,"Frozen Fruit, Juice, and Vegetable Manufacturing","['Agricultural Equipment Services', 'Food Processing Services', 'Ornamental Plant Nurseries', 'Seafood Processing Services', 'Bakery Production Services', 'Coffee Processing Services', 'Meat Processing Services', 'Confectionery Manufacturing', 'Gardening Services', 'Food Safety Services', 'Dairy Production Services', 'Canning Services', 'Pet Food Manufacturing', 'Grain Processing Services', 'Textile Manufacturing Services', 'Pesticide Application Services', 'Livestock Dealer Services', 'Frozen Food Processing', 'Furniture Manufacturing', 'Accessory Manufacturing', 'Cabinetry Manufacturing', 'Catering Services']","[0.3943376, 0.39245272, 0.36094207, 0.35163498, 0.34166348, 0.33085266, 0.32945883, 0.3225432, 0.32151943, 0.3181459, 0.31303713, 0.30825162, 0.30562848, 0.29963917, 0.29701364, 0.29700416, 0.28498268, 0.27825034, 0.26667535, 0.2647096, 0.2621351, 0.261256]","{'Agricultural Equipment Services': 0.07413799315690994, 'Food Processing Services': 0.3269205093383789, 'Ornamental Plant Nurseries': 0.031443532556295395, 'Seafood Processing Services': 0.035544514656066895, 'Bakery Production Services': 0.0447014756500721, 'Coffee Processing Services': 0.03978605940937996, 'Meat Processing Services': 0.02696840837597847, 'Confectionery Manufacturing': 0.05294697731733322, 'Gardening Services': 0.08774089813232422, 'Food Safety Services': 0.047761544585227966, 'Dairy Production Services': 0.0392044298350811, 'Canning Services': 0.0899064838886261, 'Pet Food Manufacturing': 0.034454453736543655, 'Grain Processing Services': 0.04908705875277519, 'Textile Manufacturing Services': 0.02389655075967312, 'Pesticide Application Services': 0.016780700534582138, 'Livestock Dealer Services': 0.03317127749323845, 'Frozen Food Processing': 0.3466964066028595, 'Furniture Manufacturing': 0.019406994804739952, 'Accessory Manufacturing': 0.07860109955072403, 'Cabinetry Manufacturing': 0.03345473110675812, 'Catering Services': 0.058437857776880264}","['Food Processing Services', 'Frozen Food Processing']"
"Loidholdhof Integrative Hofgemeinschaft is a company that offers a range of services and products to its customers. Their products are all handmade and of the highest quality, produced on a biodynamic basis with a focus on freshness and quality. The company's product range includes homemade bread, honey from their own beekeeping, syrup, and fresh vegetables, which can be purchased in their farm shop. In addition to their farm products, they also have a farm shop and cafe where customers can enjoy fresh coffee and delicious cakes.","['Living Forms', 'Farm Cafe', 'Fresh Coffee', 'Community Engagement', 'Freshly Baked Bread', 'Social Interaction Opportunities', 'Fresh Vegetables', 'Homemade Honey', 'Delicious Cakes', 'Community-oriented Living', 'Handmade Products', 'Fresh Juices', 'Farm Fresh Products', 'Integrated Farming Community', 'Biodynamic Farming']",Manufacturing,Farms & Agriculture Production,All Other Miscellaneous Crop Farming,"['Bakery Production Services', 'Confectionery Manufacturing', 'Agricultural Equipment Services', 'Dairy Production Services', 'Food Processing Services', 'Meat Processing Services', 'Livestock Dealer Services', 'Grain Processing Services', 'Ornamental Plant Nurseries', 'Gardening Services', 'Catering Services', 'Coffee Processing Services', 'Food Safety Services', 'Animal Feed Manufacturing', 'Pet Food Manufacturing', 'Canning Services', 'Seafood Processing Services', 'Ice Production Services', 'Tent Manufacturing Services', 'Millwork Services', 'Non-Alcoholic Beverage Manufacturing', 'Pesticide Application Services']","[0.47594708, 0.4396742, 0.4035203, 0.40017742, 0.39959744, 0.35436454, 0.3531459, 0.35251424, 0.3465444, 0.34439093, 0.34111637, 0.33773085, 0.33675057, 0.32714677, 0.32692137, 0.32222787, 0.3183755, 0.31197447, 0.3097033, 0.3063106, 0.30285802, 0.30031914]","{'Bakery Production Services': 0.043427981436252594, 'Confectionery Manufacturing': 0.008177109993994236, 'Agricultural Equipment Services': 0.01104786992073059, 'Dairy Production Services': 0.02292628213763237, 'Food Processing Services': 0.01872602105140686, 'Meat Processing Services': 0.0099412826821208, 'Livestock Dealer Services': 0.021067721769213676, 'Grain Processing Services': 0.015966391190886497, 'Ornamental Plant Nurseries': 0.008937693201005459, 'Gardening Services': 0.037905655801296234, 'Catering Services': 0.006731513421982527, 'Coffee Processing Services': 0.05850201100111008, 'Food Safety Services': 0.011022631078958511, 'Animal Feed Manufacturing': 0.005382342729717493, 'Pet Food Manufacturing': 0.008070394396781921, 'Canning Services': 0.03236802667379379, 'Seafood Processing Services': 0.008843746967613697, 'Ice Production Services': 0.014452452771365643, 'Tent Manufacturing Services': 0.01749904453754425, 'Millwork Services': 0.010980760678648949, 'Non-Alcoholic Beverage Manufacturing': 0.0414738655090332, 'Pesticide Application Services': 0.0047431327402591705}",[]
"PATAGONIA Chapa Y Pintura is an auto body shop located in Comodoro Rivadavia, Chubut Province, Argentina. The company specializes in providing auto body repair services.","['Automotive Body Repair Services', 'Interior Repair Services']",Services,Auto Body Shops,"Automotive Body, Paint, and Interior Repair and Maintenance","['Coffee Processing Services', 'Apparel Manufacturing', 'Textile Manufacturing Services', 'Asphalt Production Services', 'Food Processing Services', 'Cosmetic Manufacturing', 'Sheet Metal Services', 'Pet Grooming Services', 'Road Maintenance Services', 'Commercial Construction Services', 'Meat Processing Services', 'Seafood Processing Services', 'Well Drilling Services', 'Carpentry Services', 'Pet Food Manufacturing', 'Pet Boarding Services', 'Commercial Renovation Services', 'Excavation Services', 'Plastic Manufacturing', 'Swimming Pool Maintenance Services', 'Testing and Inspection Services', 'Tent Manufacturing Services']","[0.34127778, 0.32487506, 0.31108087, 0.30782425, 0.30520904, 0.3050699, 0.30285835, 0.30267742, 0.28695774, 0.28540748, 0.2849004, 0.28223145, 0.2814926, 0.28048277, 0.27498335, 0.27470475, 0.2709614, 0.26990357, 0.26972252, 0.2692294, 0.2686327, 0.26657534]","{'Coffee Processing Services': 0.003289238316938281, 'Apparel Manufacturing': 0.0022678470704704523, 'Textile Manufacturing Services': 0.0014389569405466318, 'Asphalt Production Services': 0.010185908526182175, 'Food Processing Services': 0.005070657469332218, 'Cosmetic Manufacturing': 0.00892985612154007, 'Sheet Metal Services': 0.009741938672959805, 'Pet Grooming Services': 0.0042129880748689175, 'Road Maintenance Services': 0.03261742368340492, 'Commercial Construction Services': 0.005151571240276098, 'Meat Processing Services': 0.007690496742725372, 'Seafood Processing Services': 0.005851902067661285, 'Well Drilling Services': 0.006244619842618704, 'Carpentry Services': 0.009927880950272083, 'Pet Food Manufacturing': 0.010181955993175507, 'Pet Boarding Services': 0.0055769216269254684, 'Commercial Renovation Services': 0.021981967613101006, 'Excavation Services': 0.002301526488736272, 'Plastic Manufacturing': 0.06193162500858307, 'Swimming Pool Maintenance Services': 0.004554609768092632, 'Testing and Inspection Services': 0.009485812857747078, 'Tent Manufacturing Services': 0.0019306010799482465}",[]
"Stanica WODNA PTTK Swornegacie is a cultural establishment located in Swornychgaciach, Poland. It is a popular destination for kayakers and tourists of all levels, offering a variety of activities and events. The establishment is managed by Zbigniew Galiński.","['Cultural Activities', 'Accommodation Services', 'Kayak Rentals', 'Small Gastronomy Products', 'Tourism Services', 'Recreational Activities', 'Cultural Center']",Services,Boat Tours & Cruises,"Scenic and Sightseeing Transportation, Water","['Welding Services', 'Tent Manufacturing Services', 'Carpentry Services', 'Physical Therapy Services', 'Brewery Operations', 'Fishing and Hunting Services', 'Ice Production Services', 'Laboratory Services', 'Arts Services', 'Field Welding Services', 'Waterproofing Services', 'Coffee Processing Services', 'Meat Processing Services', 'Veterinary Clinics', 'Legal Services', 'Pet Grooming Services', 'Boiler Repair Services', 'Fencing Construction Services', 'Travel Services', 'Testing and Inspection Services', 'Textile Manufacturing Services', 'Seafood Processing Services']","[0.24252653, 0.24166107, 0.2386038, 0.23729628, 0.22617684, 0.22292277, 0.21719691, 0.2141855, 0.21333429, 0.2119918, 0.2093943, 0.20869537, 0.20733276, 0.20647004, 0.20589522, 0.20426719, 0.20158492, 0.20103292, 0.19974387, 0.1985747, 0.19799478, 0.19723332]","{'Welding Services': 0.003615532536059618, 'Tent Manufacturing Services': 0.009588740766048431, 'Carpentry Services': 0.006110905669629574, 'Physical Therapy Services': 0.005724652670323849, 'Brewery Operations': 0.004684602841734886, 'Fishing and Hunting Services': 0.026427017524838448, 'Ice Production Services': 0.015469050034880638, 'Laboratory Services': 0.004923021420836449, 'Arts Services': 0.02402500994503498, 'Field Welding Services': 0.006075472105294466, 'Waterproofing Services': 0.06317243725061417, 'Coffee Processing Services': 0.013185875490307808, 'Meat Processing Services': 0.011445652693510056, 'Veterinary Clinics': 0.004421459976583719, 'Legal Services': 0.0029982137493789196, 'Pet Grooming Services': 0.007205030880868435, 'Boiler Repair Services': 0.008469253778457642, 'Fencing Construction Services': 0.007537308149039745, 'Travel Services': 0.11706116795539856, 'Testing and Inspection Services': 0.00815140176564455, 'Textile Manufacturing Services': 0.00542592303827405, 'Seafood Processing Services': 0.024726595729589462}",[]
"BIQ Benefícios is a Brazilian company that specializes in generating benefits for both individuals and businesses. With a structure of three large companies in the food sector and 20 years of experience, BIQ Beneficios has extensive knowledge in this field. The company aims to revolutionize the market through quality services for its customers, accredited employees, and collaborators. BIQ Benefits is duly accredited by the PAT (Worker Food Program) and offers a wide network of accredited establishments that provides employees with the freedom to choose healthy food options. The BIQ Duo card is perfect for those who travel frequently. The app allows users to perform balance queries and statements of BIQ cards, as well as see the average daily spending so that their balance lasts until the end of the month.","['Healthy Food Options', 'Accredited Establishments', 'Daily Spending Tracking Service', 'Benefits and Payment Solutions', 'Balance Queries', 'Balance Statements', 'Benefit Generation', 'Food Cards', 'Flexible and Personalized Benefits Strategy']",Services,Payment Processing & Point of Sale,"Financial Transactions Processing, Reserve, and Clearinghouse Activities","['Food Processing Services', 'Business Development Services', 'Catering Services', 'Bakery Production Services', 'Coffee Processing Services', 'Financial Services', 'Marketing Services', 'Food Safety Services', 'Meat Processing Services', 'Travel Services', 'Seafood Processing Services', 'Market Research Services', 'E-Commerce Services', 'Corporate Responsibility Services', 'Health Promotion Services', 'Management Consulting', 'Quality Assurance Services', 'Insurance Services', 'Health and Safety Consulting', 'Dairy Production Services', 'Waste Management Services', 'Confectionery Manufacturing']","[0.42576373, 0.41561055, 0.40129977, 0.40056714, 0.40024507, 0.39257812, 0.38422453, 0.38013977, 0.37669116, 0.36844122, 0.36664313, 0.36052907, 0.35756865, 0.3420151, 0.33727005, 0.33441496, 0.3321432, 0.32512856, 0.31373507, 0.3105647, 0.3104613, 0.3086272]","{'Food Processing Services': 0.20604246854782104, 'Business Development Services': 0.01828199066221714, 'Catering Services': 0.09036154299974442, 'Bakery Production Services': 0.07820181548595428, 'Coffee Processing Services': 0.08808007836341858, 'Financial Services': 0.14312796294689178, 'Marketing Services': 0.024460023269057274, 'Food Safety Services': 0.037315670400857925, 'Meat Processing Services': 0.07860015332698822, 'Travel Services': 0.12659333646297455, 'Seafood Processing Services': 0.10514277964830399, 'Market Research Services': 0.019706236198544502, 'E-Commerce Services': 0.03410826623439789, 'Corporate Responsibility Services': 0.02935892343521118, 'Health Promotion Services': 0.08353082090616226, 'Management Consulting': 0.015822313725948334, 'Quality Assurance Services': 0.0436190590262413, 'Insurance Services': 0.017118439078330994, 'Health and Safety Consulting': 0.014393054880201817, 'Dairy Production Services': 0.0479029044508934, 'Waste Management Services': 0.018934987485408783, 'Confectionery Manufacturing': 0.07645244151353836}",[]
"EnvCompli is a company that provides personalized Industrial General Permit (IGP) Management services for Storm Water Compliance needs. They offer an assigned specialist to meet all your needs, coordinate your lab sample results, and manage your SMARTs account. Their services include preparing a Storm Water Pollution Prevention Plan (Swppp) with on-site evaluation, BMPs evaluation, Monitoring Implementation Plan, Site Map, and SWPPP revision. They also provide customized Inspection Forms to meet your facility needs. EnvComplI was founded by a Stormwater Compliance expert with experience in various industries such as transportation, metal fabrication, scrap metals, plastic film & extrusion, food processing, oil & gas, wood mills, and aerospace. They provide on-the-spot NEC evaluation and solution to ensure the NEC requirements have been met. Additionally, they offer SMART data entry for AdHoc Report (Lab Report) and Annual Report.","['Source Control', 'Inspection and Sampling Event Forms', 'Stormwater Management', 'State Water Boards Smarts']",Services,Environmental Engineering Services,Environmental Consulting Services,"['Environmental Consulting', 'Water Treatment Services', 'Waterproofing Services', 'Residential Drainage Systems', 'Environmental Health Services', 'Industrial Plumbing Services', 'Septic System Services', 'Residential Plumbing Services', 'Pipeline Construction Services', 'Commercial Irrigation Systems', 'Boiler Installation Services', 'General Snow Removal Services', 'Health and Safety Consulting', 'Commercial Plumbing Services', 'Swimming Pool Maintenance Services', 'General Handyman Services', 'Swimming Pool Installation Services', 'Waste Management Services', 'Testing and Inspection Services', 'Compliance Services', 'Residential Drain Cleaning', 'Commercial Drain Cleaning']","[0.48546916, 0.47099984, 0.43596065, 0.43075094, 0.42158717, 0.40638, 0.39746752, 0.38983023, 0.3863603, 0.3859017, 0.38086942, 0.37590623, 0.37551254, 0.37154824, 0.37020683, 0.36983818, 0.36680532, 0.36160517, 0.35858732, 0.3576479, 0.35038275, 0.34659272]","{'Environmental Consulting': 0.9546831846237183, 'Water Treatment Services': 0.10054266452789307, 'Waterproofing Services': 0.07137489318847656, 'Residential Drainage Systems': 0.03991682082414627, 'Environmental Health Services': 0.10022042691707611, 'Industrial Plumbing Services': 0.021359726786613464, 'Septic System Services': 0.043067462742328644, 'Residential Plumbing Services': 0.019994542002677917, 'Pipeline Construction Services': 0.03775683045387268, 'Commercial Irrigation Systems': 0.05166469141840935, 'Boiler Installation Services': 0.024919331073760986, 'General Snow Removal Services': 0.01503489725291729, 'Health and Safety Consulting': 0.04307037591934204, 'Commercial Plumbing Services': 0.023598462343215942, 'Swimming Pool Maintenance Services': 0.016820956021547318, 'General Handyman Services': 0.01155366562306881, 'Swimming Pool Installation Services': 0.015792952850461006, 'Waste Management Services': 0.05296079069375992, 'Testing and Inspection Services': 0.5124882459640503, 'Compliance Services': 0.699678897857666, 'Residential Drain Cleaning': 0.04039102792739868, 'Commercial Drain Cleaning': 0.06158459186553955}","['Environmental Consulting', 'Testing and Inspection Services', 'Compliance Services']"
"Corrugated Beam Form Ltd is a company based in Walsall, England, specializing in the supply of concrete products.","['Cut Sheets', 'Formwork Installation Services', 'Corner Joints', 'Lightweight Polypropylene Manufacturer', 'Welded Cages', 'Full Drawings Installation Videos', 'Concrete Products', 'Manufacturing', 'Light Weight Polypropyl Alcohol', 'Drawing Take-offs Services', 'Installation Guides', 'Prefabricated U-sections', 'Construction Materials Manufacturing', 'Light and Rigid Formwork']",Manufacturing,Building Material Manufacturers,Engineered Wood Member Manufacturing,"['Sheet Metal Services', 'Pallet Manufacturing', 'Commercial Construction Services', 'Non-Structural Steel Fabrication', 'Tilt-Up Concrete Services', 'Residential Roofing Services', 'Welding Services', 'Field Welding Services', 'Masonry Construction Services', 'Tent Manufacturing Services', 'Pipeline Construction Services', 'Roofing Services with Heat Application', 'Plastic Signage Production', 'Fencing Construction Services', 'Multi-Family Construction Services', 'Carpentry Services', 'Structural Steel Erection', 'Mobile Home Construction Services', 'Sidewalk Construction Services', 'Millwork Services', 'Plastic Manufacturing', 'Furniture Manufacturing']","[0.46739453, 0.4641639, 0.42884427, 0.41831338, 0.39366695, 0.39364, 0.39127988, 0.38811255, 0.3875978, 0.3858026, 0.37600118, 0.36420816, 0.36022806, 0.3600695, 0.35628933, 0.3537074, 0.3490395, 0.3464782, 0.3452926, 0.33054373, 0.33022237, 0.3299675]","{'Sheet Metal Services': 0.23988641798496246, 'Pallet Manufacturing': 0.12571068108081818, 'Commercial Construction Services': 0.4095878601074219, 'Non-Structural Steel Fabrication': 0.06532341241836548, 'Tilt-Up Concrete Services': 0.17751799523830414, 'Residential Roofing Services': 0.07847514003515244, 'Welding Services': 0.20635145902633667, 'Field Welding Services': 0.0809062123298645, 'Masonry Construction Services': 0.06727106869220734, 'Tent Manufacturing Services': 0.06963807344436646, 'Pipeline Construction Services': 0.056181762367486954, 'Roofing Services with Heat Application': 0.036819081753492355, 'Plastic Signage Production': 0.01293358113616705, 'Fencing Construction Services': 0.04963913932442665, 'Multi-Family Construction Services': 0.17167137563228607, 'Carpentry Services': 0.014407763257622719, 'Structural Steel Erection': 0.03863369673490524, 'Mobile Home Construction Services': 0.033866193145513535, 'Sidewalk Construction Services': 0.06305823475122452, 'Millwork Services': 0.08497878164052963, 'Plastic Manufacturing': 0.037918590009212494, 'Furniture Manufacturing': 0.01767583377659321}",['Commercial Construction Services']
"The company specializes in the production and distribution of packaging materials, including cardboard sealing tape, wholesale packaging, and packaging supplies. They also offer printed packaging services.","['C Packaging Solutions', 'Wholesale Package', 'Printed Packaging', 'Carton Sealing Tape']",Wholesale,Paper & Cardboard Products,Industrial and Personal Service Paper Merchant Wholesalers,"['Paper Production Services', 'Carpet Manufacturing Services', 'Textile Manufacturing Services', 'Food Processing Services', 'Insulation Services', 'Stationery Manufacturing', 'Sheet Metal Services', 'Bakery Production Services', 'Printing Services', 'Gas Manufacturing Services', 'E-Commerce Services', 'Drywall Services', 'Tent Manufacturing Services', 'Commercial Construction Services', 'Marketing Services', 'Catering Services', 'Branding Services', 'Meat Processing Services', 'Confectionery Manufacturing', 'Ink Production Services', 'Canning Services', 'Accessory Manufacturing']","[0.5937568, 0.4831808, 0.4705766, 0.46356827, 0.44828463, 0.44434696, 0.44389203, 0.4396314, 0.43879884, 0.43861616, 0.42774558, 0.42471245, 0.4234354, 0.42068478, 0.42015064, 0.41740632, 0.40965563, 0.40446082, 0.40154827, 0.39546633, 0.39280537, 0.38771656]","{'Paper Production Services': 0.4284524917602539, 'Carpet Manufacturing Services': 0.03173978254199028, 'Textile Manufacturing Services': 0.03962191566824913, 'Food Processing Services': 0.016415046527981758, 'Insulation Services': 0.01282127108424902, 'Stationery Manufacturing': 0.06239333376288414, 'Sheet Metal Services': 0.015357928350567818, 'Bakery Production Services': 0.015113325789570808, 'Printing Services': 0.45829468965530396, 'Gas Manufacturing Services': 0.014005174860358238, 'E-Commerce Services': 0.04677515849471092, 'Drywall Services': 0.014059309847652912, 'Tent Manufacturing Services': 0.04084393382072449, 'Commercial Construction Services': 0.11192865669727325, 'Marketing Services': 0.06787028908729553, 'Catering Services': 0.006557631306350231, 'Branding Services': 0.0702563151717186, 'Meat Processing Services': 0.01176352147012949, 'Confectionery Manufacturing': 0.02399449609220028, 'Ink Production Services': 0.06003434211015701, 'Canning Services': 0.03640254586935043, 'Accessory Manufacturing': 0.14837715029716492}","['Paper Production Services', 'Printing Services']"
"Indira Caterz And Event Managerzz is a company categorized under restaurant supply stores. It is located in Alappuzha, Kerala, India. The company specializes in providing supplies for restaurants and event management services.","['Event Organization Services', 'Restaurant Supply Store']",Wholesale,Restaurant Equipment,Other Commercial Equipment Merchant Wholesalers,"['Catering Services', 'Event Planning Services', 'Food Processing Services', 'Marketing Services', 'Travel Services', 'Seafood Processing Services', 'Bakery Production Services', 'E-Commerce Services', 'Crisis Management Services', 'Coffee Processing Services', 'General Handyman Services', 'Tent Manufacturing Services', 'Meat Processing Services', 'Confectionery Manufacturing', 'Carpet Manufacturing Services', 'Interior Design Services', 'Waste Management Services', 'Food Safety Services', 'Fundraising Services', 'Sports Management Services', 'Agricultural Equipment Services', 'Online Marketing Services']","[0.51983654, 0.45102838, 0.39506435, 0.354128, 0.3345167, 0.33115628, 0.32951176, 0.32922432, 0.31428754, 0.3047024, 0.30357587, 0.30256402, 0.30056942, 0.2979551, 0.29433265, 0.29262984, 0.2917775, 0.29161692, 0.28831813, 0.28782982, 0.28095895, 0.27850837]","{'Catering Services': 0.41742950677871704, 'Event Planning Services': 0.11838577687740326, 'Food Processing Services': 0.027160068973898888, 'Marketing Services': 0.012702576816082, 'Travel Services': 0.004135623574256897, 'Seafood Processing Services': 0.014228206127882004, 'Bakery Production Services': 0.005261329002678394, 'E-Commerce Services': 0.004706008359789848, 'Crisis Management Services': 0.020470095798373222, 'Coffee Processing Services': 0.01042221114039421, 'General Handyman Services': 0.007347469683736563, 'Tent Manufacturing Services': 0.008472112938761711, 'Meat Processing Services': 0.01213932130485773, 'Confectionery Manufacturing': 0.0036366060376167297, 'Carpet Manufacturing Services': 0.004846823867410421, 'Interior Design Services': 0.002596564358100295, 'Waste Management Services': 0.004012740217149258, 'Food Safety Services': 0.015478511340916157, 'Fundraising Services': 0.004945305176079273, 'Sports Management Services': 0.005989543162286282, 'Agricultural Equipment Services': 0.014734026044607162, 'Online Marketing Services': 0.003118231426924467}",['Catering Services']
