description,business_tags,sector,category,niche,candidate_labels,candidate_sim_scores,zero_shot_scores,final_labels
"Welchcivils is a civil engineering and construction company that specializes in designing and building utility network connections across the UK. They offer multi-utility solutions that combine electricity, gas, water, and fibre optic installation into a single contract. Their design engineer teams are capable of designing electricity, water and gas networks from existing network connection points to meter locations at the development, as well as project management of reinforcements and diversions. They provide custom connection solutions that take into account any existing assets, maximize the usage of every trench, and meet project deadlines. Welchcivils has considerable expertise installing gas and electricity connections in a variety of market categories, including residential, commercial, and industrial projects, as as well.","['Construction Services', 'Multi-utilities', 'Utility Network Connections Design and Construction', 'Water Connection Installation', 'Multi-utility Connections', 'Fiber Optic Installation']",Services,Civil Engineering Services,Other Heavy and Civil Engineering Construction,"['Pipeline Construction Services', 'Residential Electrical Services', 'Commercial Electrical Services', 'Commercial Construction Services', 'Industrial Plumbing Services', 'Electric Line Construction', 'Infrastructure Excavation', 'Multi-Family Construction Services', 'Cable Installation Services', 'Insulation Services', 'Commercial Communication Equipment Installation', 'Millwork Services', 'Residential Communication Equipment Installation', 'Directional Drilling Services', 'Boiler Installation Services', 'Masonry Construction Services', 'Well Drilling Services', 'Road and Highway Construction', 'Roofing Services with Heat Application', 'Commercial Plumbing Services', 'Excavation Services', 'Residential Roofing Services']","[0.5658457, 0.5097127, 0.49567527, 0.48040244, 0.47354585, 0.45154375, 0.4515401, 0.45071185, 0.4490946, 0.44883054, 0.4385026, 0.43741637, 0.43543664, 0.43323848, 0.4292122, 0.42893735, 0.41908032, 0.41752183, 0.41594076, 0.41557214, 0.41531473, 0.41281056]","{'Pipeline Construction Services': 0.38270458579063416, 'Residential Electrical Services': 0.454649955034256, 'Commercial Electrical Services': 0.3191467225551605, 'Commercial Construction Services': 0.5377991199493408, 'Industrial Plumbing Services': 0.09647490084171295, 'Electric Line Construction': 0.3298425078392029, 'Infrastructure Excavation': 0.04325253143906593, 'Multi-Family Construction Services': 0.5814105868339539, 'Cable Installation Services': 0.3491551876068115, 'Insulation Services': 0.03796643018722534, 'Commercial Communication Equipment Installation': 0.17428192496299744, 'Millwork Services': 0.07416713982820511, 'Residential Communication Equipment Installation': 0.31139206886291504, 'Directional Drilling Services': 0.03271377459168434, 'Boiler Installation Services': 0.1571456789970398, 'Masonry Construction Services': 0.07253310829401016, 'Well Drilling Services': 0.02288440614938736, 'Road and Highway Construction': 0.10333355516195297, 'Roofing Services with Heat Application': 0.09739577770233154, 'Commercial Plumbing Services': 0.13136759400367737, 'Excavation Services': 0.018686795607209206, 'Residential Roofing Services': 0.1917119175195694}","['Pipeline Construction Services', 'Residential Electrical Services', 'Commercial Electrical Services', 'Commercial Construction Services', 'Electric Line Construction', 'Multi-Family Construction Services', 'Cable Installation Services', 'Residential Communication Equipment Installation']"
"Kyoto Vegetable Specialists Uekamo, also known as Iwa-machi, is a company based in Kyoto, Japan that specializes in the sale of vegetables. They have been in business for ten years and offer a collection of vegetable recipes through their Keiō Vegetable Recipe Collection and Online Shop. The company is directly owned by Uekamoo Farm, Uekame Farm, and Lobechi Shijo-hara Farm. They offer a variety of vegetable products, including suguki-zuke and Kamoo eggplant, and also accept production cultivation according to customer requests. Iwaichi Limited Company uses their experience in production and sales to provide tailored vegetables to meet customer needs and also accepts cultivation of products according to their requirements.","['Wholesale', 'Dual-task Movement Products', 'Manufacturing Technology', 'Food and Beverage', 'Rice And Noodles', 'Rice Wholesaler', 'Miscellaneous Crop Farming', 'Health and Wellness Products', 'Agricultural Cooperative', 'Medical Practice Based on Eastern Medicine', 'Production', 'Rice Pudding']",Manufacturing,Fruit & Vegetable - Markets & Stores,"Frozen Fruit, Juice, and Vegetable Manufacturing","['Food Processing Services', 'Agricultural Equipment Services', 'Seafood Processing Services', 'Ornamental Plant Nurseries', 'Bakery Production Services', 'Coffee Processing Services', 'Meat Processing Services', 'Confectionery Manufacturing', 'Gardening Services', 'Dairy Production Services', 'Food Safety Services', 'Canning Services', 'Pet Food Manufacturing', 'Grain Processing Services', 'Textile Manufacturing Services', 'Pesticide Application Services', 'Livestock Dealer Services', 'Frozen Food Processing', 'Catering Services', 'Furniture Manufacturing', 'Cabinetry Manufacturing', 'Timber Harvesting Operations']","[0.41046858, 0.39843807, 0.3647142, 0.36411327, 0.3590087, 0.34685618, 0.34225112, 0.3404675, 0.33359784, 0.33320212, 0.3269617, 0.3179112, 0.31183618, 0.30628687, 0.30455986, 0.29990995, 0.29886392, 0.29603052, 0.27750847, 0.2714775, 0.26935932, 0.2673215]","{'Food Processing Services': 0.2626942992210388, 'Agricultural Equipment Services': 0.08154694736003876, 'Seafood Processing Services': 0.043400608003139496, 'Ornamental Plant Nurseries': 0.056917812675237656, 'Bakery Production Services': 0.05928777903318405, 'Coffee Processing Services': 0.06468742340803146, 'Meat Processing Services': 0.025302648544311523, 'Confectionery Manufacturing': 0.08136962354183197, 'Gardening Services': 0.10277924686670303, 'Dairy Production Services': 0.06492775678634644, 'Food Safety Services': 0.058273304253816605, 'Canning Services': 0.15238115191459656, 'Pet Food Manufacturing': 0.07725468277931213, 'Grain Processing Services': 0.08420711010694504, 'Textile Manufacturing Services': 0.024894798174500465, 'Pesticide Application Services': 0.026392091065645218, 'Livestock Dealer Services': 0.045745447278022766, 'Frozen Food Processing': 0.41729649901390076, 'Catering Services': 0.07258176803588867, 'Furniture Manufacturing': 0.031050976365804672, 'Cabinetry Manufacturing': 0.03957837074995041, 'Timber Harvesting Operations': 0.019135240465402603}",['Frozen Food Processing']
"Loidholdhof Integrative Hofgemeinschaft is a company that offers a range of services and products to its customers. Their products are all handmade and of the highest quality, produced on a biodynamic basis with a focus on freshness and quality. The company's product range includes homemade bread, honey from their own beekeeping, syrup, and fresh vegetables, which can be purchased in their farm shop. In addition to their farm products, they also have a farm shop and cafe where customers can enjoy fresh coffee and delicious cakes.","['Living Forms', 'Farm Cafe', 'Fresh Coffee', 'Community Engagement', 'Freshly Baked Bread', 'Social Interaction Opportunities', 'Fresh Vegetables', 'Homemade Honey', 'Delicious Cakes', 'Community-oriented Living', 'Handmade Products', 'Fresh Juices', 'Farm Fresh Products', 'Integrated Farming Community', 'Biodynamic Farming']",Manufacturing,Farms & Agriculture Production,All Other Miscellaneous Crop Farming,"['Bakery Production Services', 'Confectionery Manufacturing', 'Agricultural Equipment Services', 'Dairy Production Services', 'Food Processing Services', 'Grain Processing Services', 'Meat Processing Services', 'Livestock Dealer Services', 'Gardening Services', 'Coffee Processing Services', 'Ornamental Plant Nurseries', 'Catering Services', 'Food Safety Services', 'Animal Feed Manufacturing', 'Pet Food Manufacturing', 'Canning Services', 'Seafood Processing Services', 'Millwork Services', 'Ice Production Services', 'Tent Manufacturing Services', 'Non-Alcoholic Beverage Manufacturing', 'Textile Manufacturing Services']","[0.49026528, 0.45671016, 0.42583674, 0.42295566, 0.42041135, 0.3761791, 0.37536082, 0.37328148, 0.359013, 0.35533547, 0.35442454, 0.35420477, 0.35090056, 0.3445676, 0.34238732, 0.3352982, 0.3338968, 0.3278319, 0.32758567, 0.32627994, 0.3190477, 0.3108361]","{'Bakery Production Services': 0.03535689786076546, 'Confectionery Manufacturing': 0.03899230808019638, 'Agricultural Equipment Services': 0.021792983636260033, 'Dairy Production Services': 0.02939259447157383, 'Food Processing Services': 0.015234273858368397, 'Grain Processing Services': 0.01657257229089737, 'Meat Processing Services': 0.011495087295770645, 'Livestock Dealer Services': 0.012104443274438381, 'Gardening Services': 0.018889985978603363, 'Coffee Processing Services': 0.04707418382167816, 'Ornamental Plant Nurseries': 0.010578206740319729, 'Catering Services': 0.005143331829458475, 'Food Safety Services': 0.009689470753073692, 'Animal Feed Manufacturing': 0.053533077239990234, 'Pet Food Manufacturing': 0.042416226118803024, 'Canning Services': 0.02393399365246296, 'Seafood Processing Services': 0.01076130848377943, 'Millwork Services': 0.00812667328864336, 'Ice Production Services': 0.017977267503738403, 'Tent Manufacturing Services': 0.21282286942005157, 'Non-Alcoholic Beverage Manufacturing': 0.23832367360591888, 'Textile Manufacturing Services': 0.0513438917696476}",[]
"PATAGONIA Chapa Y Pintura is an auto body shop located in Comodoro Rivadavia, Chubut Province, Argentina. The company specializes in providing auto body repair services.","['Automotive Body Repair Services', 'Interior Repair Services']",Services,Auto Body Shops,"Automotive Body, Paint, and Interior Repair and Maintenance","['Coffee Processing Services', 'Apparel Manufacturing', 'Textile Manufacturing Services', 'Food Processing Services', 'Sheet Metal Services', 'Cosmetic Manufacturing', 'Asphalt Production Services', 'Pet Grooming Services', 'Meat Processing Services', 'Commercial Construction Services', 'Seafood Processing Services', 'Well Drilling Services', 'Road Maintenance Services', 'Pet Food Manufacturing', 'Carpentry Services', 'Pet Boarding Services', 'Plastic Manufacturing', 'Excavation Services', 'Swimming Pool Maintenance Services', 'Testing and Inspection Services', 'Commercial Renovation Services', 'Travel Services']","[0.33400184, 0.31740677, 0.30248114, 0.2992435, 0.291986, 0.29075766, 0.29066682, 0.2895465, 0.2759219, 0.27542552, 0.27538693, 0.27085376, 0.26720938, 0.26712552, 0.26443654, 0.26423982, 0.2623554, 0.26191232, 0.26066214, 0.25880736, 0.2556079, 0.25517422]","{'Coffee Processing Services': 0.004490433726459742, 'Apparel Manufacturing': 0.003500742604956031, 'Textile Manufacturing Services': 0.003177944105118513, 'Food Processing Services': 0.004959167446941137, 'Sheet Metal Services': 0.008106807246804237, 'Cosmetic Manufacturing': 0.00680765975266695, 'Asphalt Production Services': 0.007272784598171711, 'Pet Grooming Services': 0.00653415359556675, 'Meat Processing Services': 0.005228635389357805, 'Commercial Construction Services': 0.015523758716881275, 'Seafood Processing Services': 0.004694091156125069, 'Well Drilling Services': 0.007276618853211403, 'Road Maintenance Services': 0.025888344272971153, 'Pet Food Manufacturing': 0.01062514167279005, 'Carpentry Services': 0.008082910440862179, 'Pet Boarding Services': 0.006994017865508795, 'Plastic Manufacturing': 0.023014001548290253, 'Excavation Services': 0.0037910237442702055, 'Swimming Pool Maintenance Services': 0.0038998485542833805, 'Testing and Inspection Services': 0.013453417457640171, 'Commercial Renovation Services': 0.019031010568141937, 'Travel Services': 0.017681661993265152}",[]
"Stanica WODNA PTTK Swornegacie is a cultural establishment located in Swornychgaciach, Poland. It is a popular destination for kayakers and tourists of all levels, offering a variety of activities and events. The establishment is managed by Zbigniew Galiński.","['Cultural Activities', 'Accommodation Services', 'Kayak Rentals', 'Small Gastronomy Products', 'Tourism Services', 'Recreational Activities', 'Cultural Center']",Services,Boat Tours & Cruises,"Scenic and Sightseeing Transportation, Water","['Welding Services', 'Tent Manufacturing Services', 'Carpentry Services', 'Physical Therapy Services', 'Fishing and Hunting Services', 'Brewery Operations', 'Ice Production Services', 'Waterproofing Services', 'Laboratory Services', 'Field Welding Services', 'Seafood Processing Services', 'Meat Processing Services', 'Coffee Processing Services', 'Legal Services', 'Travel Services', 'Pet Grooming Services', 'Testing and Inspection Services', 'Boiler Repair Services', 'Arts Services', 'Veterinary Clinics', 'Textile Manufacturing Services', 'Fencing Construction Services']","[0.24785739, 0.24433027, 0.24286133, 0.23692313, 0.23622742, 0.23186827, 0.22370027, 0.2176396, 0.21625414, 0.21443158, 0.21314338, 0.21040726, 0.2102196, 0.20893568, 0.20797549, 0.20566383, 0.20488647, 0.2046989, 0.2043482, 0.2037259, 0.20282495, 0.19903505]","{'Welding Services': 0.02200336381793022, 'Tent Manufacturing Services': 0.029177259653806686, 'Carpentry Services': 0.02750835008919239, 'Physical Therapy Services': 0.029195018112659454, 'Fishing and Hunting Services': 0.10374830663204193, 'Brewery Operations': 0.013542154803872108, 'Ice Production Services': 0.057938069105148315, 'Waterproofing Services': 0.4499373435974121, 'Laboratory Services': 0.03282356634736061, 'Field Welding Services': 0.038304056972265244, 'Seafood Processing Services': 0.12908966839313507, 'Meat Processing Services': 0.04081163555383682, 'Coffee Processing Services': 0.042505938559770584, 'Legal Services': 0.028425183147192, 'Travel Services': 0.8210874795913696, 'Pet Grooming Services': 0.0338195338845253, 'Testing and Inspection Services': 0.13590535521507263, 'Boiler Repair Services': 0.10229355841875076, 'Arts Services': 0.056019797921180725, 'Veterinary Clinics': 0.010022265836596489, 'Textile Manufacturing Services': 0.027603939175605774, 'Fencing Construction Services': 0.05444798246026039}","['Waterproofing Services', 'Travel Services']"
"BIQ Benefícios is a Brazilian company that specializes in generating benefits for both individuals and businesses. With a structure of three large companies in the food sector and 20 years of experience, BIQ Beneficios has extensive knowledge in this field. The company aims to revolutionize the market through quality services for its customers, accredited employees, and collaborators. BIQ Benefits is duly accredited by the PAT (Worker Food Program) and offers a wide network of accredited establishments that provides employees with the freedom to choose healthy food options. The BIQ Duo card is perfect for those who travel frequently. The app allows users to perform balance queries and statements of BIQ cards, as well as see the average daily spending so that their balance lasts until the end of the month.","['Healthy Food Options', 'Accredited Establishments', 'Daily Spending Tracking Service', 'Benefits and Payment Solutions', 'Balance Queries', 'Balance Statements', 'Benefit Generation', 'Food Cards', 'Flexible and Personalized Benefits Strategy']",Services,Payment Processing & Point of Sale,"Financial Transactions Processing, Reserve, and Clearinghouse Activities","['Food Processing Services', 'Business Development Services', 'Coffee Processing Services', 'Catering Services', 'Bakery Production Services', 'Financial Services', 'Marketing Services', 'Meat Processing Services', 'Food Safety Services', 'Travel Services', 'Seafood Processing Services', 'E-Commerce Services', 'Market Research Services', 'Corporate Responsibility Services', 'Management Consulting', 'Quality Assurance Services', 'Insurance Services', 'Health Promotion Services', 'Waste Management Services', 'Confectionery Manufacturing', 'Dairy Production Services', 'Health and Safety Consulting']","[0.44317228, 0.42181247, 0.41555822, 0.41135433, 0.4065019, 0.40415245, 0.39770663, 0.3893998, 0.38911223, 0.38183558, 0.38054913, 0.37934965, 0.3657484, 0.34974933, 0.33847678, 0.3368748, 0.33189124, 0.33183807, 0.321284, 0.31950566, 0.31867123, 0.31668717]","{'Food Processing Services': 0.6686686873435974, 'Business Development Services': 0.11312508583068848, 'Coffee Processing Services': 0.1245674267411232, 'Catering Services': 0.1756691336631775, 'Bakery Production Services': 0.11423829197883606, 'Financial Services': 0.7852501273155212, 'Marketing Services': 0.1649903953075409, 'Meat Processing Services': 0.12418690323829651, 'Food Safety Services': 0.12069496512413025, 'Travel Services': 0.268620103597641, 'Seafood Processing Services': 0.14821326732635498, 'E-Commerce Services': 0.42719024419784546, 'Market Research Services': 0.13575118780136108, 'Corporate Responsibility Services': 0.20389842987060547, 'Management Consulting': 0.026236124336719513, 'Quality Assurance Services': 0.22686867415905, 'Insurance Services': 0.10118512064218521, 'Health Promotion Services': 0.17034465074539185, 'Waste Management Services': 0.06562238186597824, 'Confectionery Manufacturing': 0.0837569609284401, 'Dairy Production Services': 0.07652315497398376, 'Health and Safety Consulting': 0.029346462339162827}","['Food Processing Services', 'Financial Services', 'E-Commerce Services']"
"EnvCompli is a company that provides personalized Industrial General Permit (IGP) Management services for Storm Water Compliance needs. They offer an assigned specialist to meet all your needs, coordinate your lab sample results, and manage your SMARTs account. Their services include preparing a Storm Water Pollution Prevention Plan (Swppp) with on-site evaluation, BMPs evaluation, Monitoring Implementation Plan, Site Map, and SWPPP revision. They also provide customized Inspection Forms to meet your facility needs. EnvComplI was founded by a Stormwater Compliance expert with experience in various industries such as transportation, metal fabrication, scrap metals, plastic film & extrusion, food processing, oil & gas, wood mills, and aerospace. They provide on-the-spot NEC evaluation and solution to ensure the NEC requirements have been met. Additionally, they offer SMART data entry for AdHoc Report (Lab Report) and Annual Report.","['Source Control', 'Inspection and Sampling Event Forms', 'Stormwater Management', 'State Water Boards Smarts']",Services,Environmental Engineering Services,Environmental Consulting Services,"['Environmental Consulting', 'Water Treatment Services', 'Residential Drainage Systems', 'Environmental Health Services', 'Waterproofing Services', 'Industrial Plumbing Services', 'Septic System Services', 'Pipeline Construction Services', 'Commercial Irrigation Systems', 'Residential Plumbing Services', 'Commercial Plumbing Services', 'Health and Safety Consulting', 'Waste Management Services', 'Boiler Installation Services', 'General Snow Removal Services', 'Swimming Pool Maintenance Services', 'Residential Drain Cleaning', 'Swimming Pool Installation Services', 'Commercial Drain Cleaning', 'General Handyman Services', 'Testing and Inspection Services', 'Ice Production Services']","[0.5257374, 0.49574494, 0.4631269, 0.44617233, 0.44554403, 0.43420112, 0.42240465, 0.4180932, 0.4151093, 0.41369802, 0.39931524, 0.39480853, 0.38697007, 0.38463664, 0.38369215, 0.38265735, 0.3774612, 0.3756631, 0.3749472, 0.3734319, 0.3718176, 0.36221474]","{'Environmental Consulting': 0.8972052931785583, 'Water Treatment Services': 0.2280564159154892, 'Residential Drainage Systems': 0.10591030865907669, 'Environmental Health Services': 0.04689398035407066, 'Waterproofing Services': 0.20323514938354492, 'Industrial Plumbing Services': 0.07364249229431152, 'Septic System Services': 0.12074504792690277, 'Pipeline Construction Services': 0.1463531106710434, 'Commercial Irrigation Systems': 0.10009518265724182, 'Residential Plumbing Services': 0.07203412801027298, 'Commercial Plumbing Services': 0.08568677306175232, 'Health and Safety Consulting': 0.07803592830896378, 'Waste Management Services': 0.19729143381118774, 'Boiler Installation Services': 0.07124637812376022, 'General Snow Removal Services': 0.03820055350661278, 'Swimming Pool Maintenance Services': 0.04179813340306282, 'Residential Drain Cleaning': 0.0972924754023552, 'Swimming Pool Installation Services': 0.04242372885346413, 'Commercial Drain Cleaning': 0.12165430188179016, 'General Handyman Services': 0.05147598683834076, 'Testing and Inspection Services': 0.7778612375259399, 'Ice Production Services': 0.07307463884353638}","['Environmental Consulting', 'Testing and Inspection Services']"
"Corrugated Beam Form Ltd is a company based in Walsall, England, specializing in the supply of concrete products.","['Cut Sheets', 'Formwork Installation Services', 'Corner Joints', 'Lightweight Polypropylene Manufacturer', 'Welded Cages', 'Full Drawings Installation Videos', 'Concrete Products', 'Manufacturing', 'Drawing Take-offs Services', 'Installation Guides', 'Prefabricated U-sections', 'Construction Materials Manufacturing', 'Light and Rigid Formwork']",Manufacturing,Building Material Manufacturers,Engineered Wood Member Manufacturing,"['Sheet Metal Services', 'Pallet Manufacturing', 'Commercial Construction Services', 'Non-Structural Steel Fabrication', 'Welding Services', 'Masonry Construction Services', 'Tent Manufacturing Services', 'Residential Roofing Services', 'Field Welding Services', 'Tilt-Up Concrete Services', 'Pipeline Construction Services', 'Carpentry Services', 'Fencing Construction Services', 'Roofing Services with Heat Application', 'Multi-Family Construction Services', 'Plastic Signage Production', 'Mobile Home Construction Services', 'Furniture Manufacturing', 'Structural Steel Erection', 'Window and Door Manufacturing', 'Sidewalk Construction Services', 'Millwork Services']","[0.48751694, 0.48421645, 0.45016712, 0.43383595, 0.40803427, 0.4055968, 0.40415713, 0.40208673, 0.40176827, 0.40115863, 0.38661358, 0.37931094, 0.3750245, 0.3735032, 0.37090057, 0.3648932, 0.36466563, 0.36424905, 0.3572747, 0.35292962, 0.35223234, 0.3512355]","{'Sheet Metal Services': 0.25021931529045105, 'Pallet Manufacturing': 0.2912287414073944, 'Commercial Construction Services': 0.41384357213974, 'Non-Structural Steel Fabrication': 0.13804402947425842, 'Welding Services': 0.2542930841445923, 'Masonry Construction Services': 0.0779874175786972, 'Tent Manufacturing Services': 0.1322716325521469, 'Residential Roofing Services': 0.16080817580223083, 'Field Welding Services': 0.11072273552417755, 'Tilt-Up Concrete Services': 0.1841701716184616, 'Pipeline Construction Services': 0.09150920063257217, 'Carpentry Services': 0.01950925961136818, 'Fencing Construction Services': 0.09603513032197952, 'Roofing Services with Heat Application': 0.10070408135652542, 'Multi-Family Construction Services': 0.2071509212255478, 'Plastic Signage Production': 0.04073689132928848, 'Mobile Home Construction Services': 0.051333628594875336, 'Furniture Manufacturing': 0.07330314069986343, 'Structural Steel Erection': 0.04450688511133194, 'Window and Door Manufacturing': 0.4352187514305115, 'Sidewalk Construction Services': 0.06260781735181808, 'Millwork Services': 0.08727319538593292}","['Commercial Construction Services', 'Window and Door Manufacturing']"
"The company specializes in the production and distribution of packaging materials, including cardboard sealing tape, wholesale packaging, and packaging supplies. They also offer printed packaging services.","['C Packaging Solutions', 'Wholesale Package', 'Printed Packaging', 'Carton Sealing Tape']",Wholesale,Paper & Cardboard Products,Industrial and Personal Service Paper Merchant Wholesalers,"['Paper Production Services', 'Carpet Manufacturing Services', 'Food Processing Services', 'Textile Manufacturing Services', 'Insulation Services', 'Sheet Metal Services', 'Stationery Manufacturing', 'Bakery Production Services', 'Tent Manufacturing Services', 'Gas Manufacturing Services', 'Drywall Services', 'E-Commerce Services', 'Commercial Construction Services', 'Printing Services', 'Catering Services', 'Marketing Services', 'Branding Services', 'Meat Processing Services', 'Canning Services', 'Confectionery Manufacturing', 'Plastic Signage Production', 'Rope Production Services']","[0.5991927, 0.47838563, 0.4669384, 0.46519595, 0.4636225, 0.4520952, 0.44523594, 0.44097686, 0.43427774, 0.43175238, 0.43074155, 0.42232025, 0.42213607, 0.41993296, 0.41835406, 0.4168775, 0.40468457, 0.40413412, 0.40074837, 0.40047836, 0.39635742, 0.39543104]","{'Paper Production Services': 0.4690207242965698, 'Carpet Manufacturing Services': 0.04412587732076645, 'Food Processing Services': 0.07064013928174973, 'Textile Manufacturing Services': 0.055896542966365814, 'Insulation Services': 0.010547828860580921, 'Sheet Metal Services': 0.015557140111923218, 'Stationery Manufacturing': 0.08452465385198593, 'Bakery Production Services': 0.028345564380288124, 'Tent Manufacturing Services': 0.06413695961236954, 'Gas Manufacturing Services': 0.030748635530471802, 'Drywall Services': 0.013824059627950191, 'E-Commerce Services': 0.09824628382921219, 'Commercial Construction Services': 0.08012203872203827, 'Printing Services': 0.3287430703639984, 'Catering Services': 0.013445870019495487, 'Marketing Services': 0.062486086040735245, 'Branding Services': 0.09230822324752808, 'Meat Processing Services': 0.03588955104351044, 'Canning Services': 0.07764659821987152, 'Confectionery Manufacturing': 0.0687374398112297, 'Plastic Signage Production': 0.18238313496112823, 'Rope Production Services': 0.09681980311870575}","['Paper Production Services', 'Printing Services']"
"Indira Caterz And Event Managerzz is a company categorized under restaurant supply stores. It is located in Alappuzha, Kerala, India. The company specializes in providing supplies for restaurants and event management services.","['Event Organization Services', 'Restaurant Supply Store']",Wholesale,Restaurant Equipment,Other Commercial Equipment Merchant Wholesalers,"['Catering Services', 'Event Planning Services', 'Food Processing Services', 'Marketing Services', 'Seafood Processing Services', 'E-Commerce Services', 'Travel Services', 'Bakery Production Services', 'Crisis Management Services', 'Coffee Processing Services', 'Meat Processing Services', 'Tent Manufacturing Services', 'General Handyman Services', 'Confectionery Manufacturing', 'Carpet Manufacturing Services', 'Waste Management Services', 'Interior Design Services', 'Agricultural Equipment Services', 'Food Safety Services', 'Sports Management Services', 'Insurance Services', 'Fundraising Services']","[0.51932573, 0.4327491, 0.39778513, 0.35277355, 0.33889198, 0.33504272, 0.33235574, 0.33132276, 0.30843604, 0.3078383, 0.30722523, 0.30674583, 0.30582324, 0.29814106, 0.2973159, 0.29413927, 0.29405496, 0.293826, 0.29034084, 0.28325835, 0.28237122, 0.28051257]","{'Catering Services': 0.3519013822078705, 'Event Planning Services': 0.10315559804439545, 'Food Processing Services': 0.019185667857527733, 'Marketing Services': 0.013543601147830486, 'Seafood Processing Services': 0.012312875129282475, 'E-Commerce Services': 0.004928659647703171, 'Travel Services': 0.00388843915425241, 'Bakery Production Services': 0.0045455400831997395, 'Crisis Management Services': 0.026148105040192604, 'Coffee Processing Services': 0.009429659694433212, 'Meat Processing Services': 0.010999045334756374, 'Tent Manufacturing Services': 0.006008334923535585, 'General Handyman Services': 0.006244861055165529, 'Confectionery Manufacturing': 0.002809094963595271, 'Carpet Manufacturing Services': 0.004038649145513773, 'Waste Management Services': 0.0037543338257819414, 'Interior Design Services': 0.003777586156502366, 'Agricultural Equipment Services': 0.0020751755218952894, 'Food Safety Services': 0.016577713191509247, 'Sports Management Services': 0.009100873954594135, 'Insurance Services': 0.002031868090853095, 'Fundraising Services': 0.0067208269611001015}",['Catering Services']
